0,"[1, 4, 6, 16, 18, 24, 46, 48, 54, 63, 67, 70, 71, 72]"
1,"[6, 16, 17, 19, 24, 29, 46, 54, 63, 64, 70, 72, 0]"
2,"[7, 8, 12, 24, 33, 46, 49, 67]"
3,"[8, 9, 12, 20, 24, 29, 37, 38, 56, 61, 68]"
4,"[12, 26, 48, 71, 0]"
5,"[11, 28, 36, 37, 39, 41, 44, 45, 50, 51, 55, 58, 73]"
6,"[16, 17, 19, 24, 26, 29, 46, 54, 63, 69, 70, 0, 1]"
7,"[9, 12, 18, 19, 20, 24, 33, 34, 35, 37, 39, 61, 67, 2]"
8,"[9, 19, 24, 29, 31, 38, 46, 59, 61, 64, 68, 69, 72, 2, 3]"
9,"[18, 29, 33, 34, 35, 38, 61, 67, 68, 3, 7, 8]"
10,"[21, 56, 62, 64]"
11,"[12, 36, 44, 45, 50, 73, 5]"
12,"[24, 26, 33, 43, 2, 3, 4, 7, 11]"
13,"[20, 23, 25, 27, 30, 44, 60]"
14,"[15, 27, 30, 32, 60, 66, 74]"
15,"[20, 27, 30, 36, 60, 66, 74, 14]"
16,"[24, 43, 46, 54, 63, 70, 0, 1, 6]"
17,"[18, 19, 29, 64, 67, 72, 1, 6]"
18,"[19, 31, 33, 34, 39, 41, 46, 54, 58, 61, 67, 72, 0, 7, 9, 17]"
19,"[39, 59, 64, 67, 69, 72, 1, 6, 7, 8, 17, 18]"
20,"[23, 25, 30, 35, 37, 38, 44, 56, 61, 3, 7, 13, 15]"
21,"[56, 64, 69, 10]"
22,[65]
23,"[25, 27, 30, 36, 44, 53, 13, 20]"
24,"[37, 46, 54, 61, 63, 64, 67, 68, 70, 0, 1, 2, 3, 6, 7, 8, 12, 16]"
25,"[27, 30, 40, 44, 53, 55, 60, 13, 20, 23]"
26,"[43, 48, 70, 72, 4, 6, 12]"
27,"[30, 36, 55, 60, 66, 74, 13, 14, 15, 23, 25]"
28,"[36, 44, 45, 51, 55, 57, 5]"
29,"[38, 59, 64, 68, 69, 72, 1, 3, 6, 8, 9, 17]"
30,"[32, 44, 55, 60, 66, 74, 13, 14, 15, 20, 23, 25, 27]"
31,"[33, 41, 49, 58, 8, 18]"
32,"[40, 42, 52, 66, 14, 30]"
33,"[34, 46, 2, 7, 9, 12, 18, 31]"
34,"[38, 46, 54, 61, 67, 7, 9, 18, 33]"
35,"[37, 45, 55, 7, 9, 20]"
36,"[38, 44, 45, 51, 55, 57, 66, 5, 11, 15, 23, 27, 28]"
37,"[38, 39, 41, 56, 57, 3, 5, 7, 20, 24, 35]"
38,"[39, 41, 56, 61, 68, 3, 8, 9, 20, 29, 34, 36, 37]"
39,"[41, 56, 58, 5, 7, 18, 19, 37, 38]"
40,"[42, 52, 25, 32]"
41,"[49, 51, 58, 5, 18, 31, 37, 38, 39]"
42,"[47, 52, 32, 40]"
43,"[48, 70, 12, 16, 26]"
44,"[45, 50, 51, 55, 57, 73, 5, 11, 13, 20, 23, 25, 28, 30, 36]"
45,"[50, 51, 57, 73, 5, 11, 28, 35, 36, 44]"
46,"[49, 54, 61, 67, 69, 70, 0, 1, 2, 6, 8, 16, 18, 24, 33, 34]"
47,[42]
48,"[71, 0, 4, 26, 43]"
49,"[58, 69, 2, 31, 41, 46]"
50,"[73, 5, 11, 44, 45]"
51,"[57, 5, 28, 36, 41, 44, 45]"
52,"[32, 40, 42]"
53,"[23, 25]"
54,"[61, 63, 70, 0, 1, 6, 16, 18, 24, 34, 46]"
55,"[5, 25, 27, 28, 30, 35, 36, 44]"
56,"[64, 69, 3, 10, 20, 21, 37, 38, 39]"
57,"[58, 28, 36, 37, 44, 45, 51]"
58,"[5, 18, 31, 39, 41, 49, 57]"
59,"[64, 69, 72, 8, 19, 29]"
60,"[66, 74, 13, 14, 15, 25, 27, 30]"
61,"[72, 3, 7, 8, 9, 18, 20, 24, 34, 38, 46, 54]"
62,[10]
63,"[0, 1, 6, 16, 24, 54]"
64,"[69, 72, 1, 8, 10, 17, 19, 21, 24, 29, 56, 59]"
65,[22]
66,"[74, 14, 15, 27, 30, 32, 36, 60]"
67,"[72, 0, 2, 7, 9, 17, 18, 19, 24, 34, 46]"
68,"[3, 8, 9, 24, 29, 38]"
69,"[72, 6, 8, 19, 21, 29, 46, 49, 56, 59, 64]"
70,"[0, 1, 6, 16, 24, 26, 43, 46, 54]"
71,"[0, 4, 48]"
72,"[0, 1, 8, 17, 18, 19, 26, 29, 59, 61, 64, 67, 69]"
73,"[5, 11, 44, 45, 50]"
74,"[14, 15, 27, 30, 60, 66]"
